StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q14,Q14,Q17,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,NormallyAbnormally,Domain
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,"Explaining Belief Study



This HIT is a psychology experiment sponsored by the Concepts and Cognition Lab at the University of California, Berkeley. In order to consent to participate, you MUST meet the following criteria:


* 18 years of age or older.

* Fluent speaker of English.

* Have not participated in this experiment before.



The experiment investigates how multiple pieces of information are integrated, and involves reading information and answering a few questions. The study takes about 7 minutes to complete, for which you will receive $0.40.

 
By selecting the “consent” button below, I acknowledge that I am 18 or older, that I am a fluent speaker of English, that I have not completed this experiment before,  that I have read this consent form, and that I agree to take part in the research.",Consider the following claims and indicate how much you agree with each one. - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,Consider the following claims and indicate how much you agree with each one. - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person.,Consider the following claims and indicate how much you agree with each one. - Humans evolved via natural selection and share common ancestry with many other species.,"Consider the following claims and indicate how much you agree with each one. - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing.",Consider the following claims and indicate how much you agree with each one. - There is a God.,Consider the following claims and indicate how much you agree with each one. - There are such things as angels or spiritual beings.,Consider the following claims and indicate how much you agree with each one. - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe.,Consider the following claims and indicate how much you agree with each one. - Killing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Torturing an innocent person is morally wrong.,Consider the following claims and indicate how much you agree with each one. - Killing animals for human consumption is morally wrong.,Consider the following claims and indicate how much you agree with each one. - It is morally wrong to keep animals for their milk or eggs.,What effect do you think learning these pieces of information will have on Michael’s belief that [Field-Whether]?,"When you previously rated your agreement with various statements on a seven-point scale (1 = Strongly Disagree, 7 = Strongly Agree), you rated your agreement with the claim above at  [Field-TargetRating].
 

Now we would like you to assume that you find out that there is activity your posterior striatum cortex when you consider whether [Field-Whether], and that your posterior striatum cortex appears to be working [Field-NormallyAbnormally]. Also, assume that all of the information above about the posterior striatum cortex is true. What effect would learning these pieces of information have on your belief about whether [Field-Whether]?","What effect do you think learning these facts should have on Michael’s belief that [Field-Whether]?



(For your reference, the material you already read is reproduced below.)







A new biotech company is studying a part of the brain called the posterior striatum cortex. The posterior striatum cortex is broadly associated with [Field-Domain] beliefs. When an individual expresses a [Field-Domain] belief, the posterior striatum cortex is active. However, there is no connection between the exact pattern of activity in the posterior striatum cortex and how confident an individual is in that belief. There is also no connection between activity in the posterior striatum cortex and whether the belief is actually true. 



Michael knows all of this information, and decides to volunteer for an experiment being performed by the biotech company. Michael has his brain scanned by a functional magnetic resonance imaging (fMRI) machine. During the scan, the researcher asks him a series of questions, including one about whether [Field-Whether].



Michael believes the following claim, and tells the researcher this when he is asked.



CLAIM: [Field-Claim]



After the experiment, the researcher tells Michael that there was activity in his posterior striatum cortex when he expressed his belief that [Field-Whether]. The researcher also tells Michael that the specific pattern of brain activity observed in his brain suggests that his posterior striatum cortex is working [Field-NormallyAbnormally].","Again, assume that you learn what Michael learned about his brain activity about about your own brain activity. What effect should learning what he learned have on your belief about whether [Field-Whether]?

(For your reference, the material you already about Michael read is reproduced below.)







A new biotech company is studying a part of the brain called the posterior striatum cortex. The posterior striatum cortex is broadly associated with [Field-Domain] beliefs. When an individual expresses a [Field-Domain] belief, the posterior striatum cortex is active. However, there is no connection between the exact pattern of activity in the posterior striatum cortex and how confident an individual is in that belief. There is also no connection between activity in the posterior striatum cortex and whether the belief is actually true. 

Michael knows all of this information, and decides to volunteer for an experiment being performed by the biotech company. Michael has his brain scanned by a functional magnetic resonance imaging (fMRI) machine. During the scan, the researcher asks him a series of questions, including one about whether [Field-Whether].



Michael believes the following claim, and tells the researcher this when he is asked.



CLAIM: [Field-Claim]



After the experiment, the researcher tells Michael that there was activity in his posterior striatum cortex when he expressed his belief that [Field-Whether]. The researcher also tells Michael that the specific pattern of brain activity observed in his brain suggests that his posterior striatum cortex is working [Field-NormallyAbnormally].","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some diseases are caused by microorganisms called ‘germs’ that can infect a... - Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Some infections are caused by exposure to particular types of fungus that c... - Some infections are caused by exposure to particular types of fungus that can be transferred from person to person. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Humans evolved via natural selection and share common ancestry with many ot... - Humans evolved via natural selection and share common ancestry with many other species. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Because human activity puts harmful pollutants into the atmosphere, the ave... - Because human activity puts harmful pollutants into the atmosphere, the average temperature of the Earth is increasing. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There is a God. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - There are such things as angels or spiritual beings. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a soulmate or life partner who has been preselected for hi... - Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Every person has a special destiny defined for him or her by God or some ot... - Every person has a special destiny defined for him or her by God or some other spiritual force in the universe. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Torturing an innocent person is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - Killing animals for human consumption is morally wrong. - Out of 100 Americans, how many believe?","We'd now like you to consider whether belief in each the following claims is common or rare. For each claim, please indicate how many out of 100 randomly chosen Americans you think believe the claim. - It is morally wrong to keep animals for their milk or eggs. - Out of 100 Americans, how many believe?","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Selected Choice","What Would Motivate You to Participate in More Psychology Experiments?



Most modern theories in psychology recognize the fact that people do not think in a vacuum. Individual preferences and knowledge, along with situational variables, can greatly impact their behavior. In order to facilitate the research, we are interested in knowing certain factors about you, the decision maker. Specifically, we are interested in how closely you read the directions; if not, then some of our experiments that rely on changes in the instructions will be invalid. So, to demonstrate that you have read the instructions, please ignore the items below and write the word 'dax' in the box that says 'other'. Answering the material in this question provides more information, and having more data about participants is helpful for conducting the experiment. Thank you for entering the requested information.



Which of these prizes would you find most motivating? (Select up to THREE). - Other - Text",What is your sex?,What is your age?,"Did you have any problems with this survey? For example, did something seem to appear incorrectly or was anything confusing?",What do you think this survey is about?,Have you completed this survey or one very similar to it before? (We will credit you either way; Please be honest.),AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,NormallyAbnormally,Domain
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID108_3""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID108_5""}","{""ImportId"":""QID108_6""}","{""ImportId"":""QID108_7""}","{""ImportId"":""QID108_8""}","{""ImportId"":""QID108_9""}","{""ImportId"":""QID108_10""}","{""ImportId"":""QID108_11""}","{""ImportId"":""QID108_12""}","{""ImportId"":""QID100""}","{""ImportId"":""QID110""}","{""ImportId"":""QID113""}","{""ImportId"":""QID115""}","{""ImportId"":""QID101_1_1""}","{""ImportId"":""QID101_2_1""}","{""ImportId"":""QID101_3_1""}","{""ImportId"":""QID101_4_1""}","{""ImportId"":""QID101_5_1""}","{""ImportId"":""QID101_6_1""}","{""ImportId"":""QID101_7_1""}","{""ImportId"":""QID101_8_1""}","{""ImportId"":""QID101_9_1""}","{""ImportId"":""QID101_10_1""}","{""ImportId"":""QID101_11_1""}","{""ImportId"":""QID101_12_1""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_9_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""AcceptReject""}","{""ImportId"":""SciRelMor""}","{""ImportId"":""CommonRare""}","{""ImportId"":""Claim""}","{""ImportId"":""ClaimSet""}","{""ImportId"":""Whether""}","{""ImportId"":""TargetRating""}","{""ImportId"":""True""}","{""ImportId"":""Do""}","{""ImportId"":""NormallyAbnormally""}","{""ImportId"":""Domain""}"
2013-12-25 12:35:20,2013-12-25 12:35:23,9,,3,1,2013-12-25 12:35:24,R_5opHyJzbsGUr74F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25 12:46:09,2013-12-25 12:49:50,0,,221,1,2013-12-25 12:49:51,R_1CemHmQ0F3IeK9f,,2,6,6,6,6,6,6,3,5,6,6,2,2,6,6,6,6,60,60,60,60,60,50,70,50,98,98,30,30,9,dax,2,19,,"Somethign to do with the difference between scientific and religious beliefs, and how our beliefs change with science.",3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,6,true,do,normally,scientific
2013-12-25 12:44:12,2013-12-25 12:51:26,0,,434,1,2013-12-25 12:51:26,R_79FYp6DRr3OOMNn,,2,7,7,7,7,1,1,1,1,7,7,1,1,3,3,2,3,85,85,40,25,80,75,60,80,99,99,10,8,9,dax,2,25,No problems.,"This survey was about personal beliefs and whether knowledge about the brain changes confidence in beliefs. ",3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,abnormally,scientific
2013-12-25 12:50:11,2013-12-25 12:53:28,0,,197,1,2013-12-25 12:53:29,R_9Ym6k2IbmVQuT0p,,2,6,6,5,6,6,5,5,6,5,6,6,2,6,6,6,6,90,69,67,80,95,60,69,75,98,90,20,5,9,dax,1,20,,,2,1,2,1,There is a God.,3,there is a God,6,true,do,normally,religious
2013-12-25 12:50:53,2013-12-25 12:55:23,0,,270,1,2013-12-25 12:55:23,R_0oY0UHgAE7O7god,,2,7,7,1,5,7,7,7,7,7,7,1,1,4,4,4,4,100,99,25,90,87,85,87,85,100,100,15,10,9,Dax,1,22,,People's morality vs. spirituality,3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,1,true,do,abnormally,scientific
2013-12-25 12:50:11,2013-12-25 12:55:54,0,,343,1,2013-12-25 12:55:55,R_2cAvKMBza749WxD,,2,7,7,7,5,4,4,3,1,7,7,1,1,4,4,4,4,95,90,92,80,70,30,20,25,98,98,15,15,9,dax,1,31,None,beliefs and scientific evidence,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,abnormally,scientific
2013-12-25 12:51:16,2013-12-25 12:56:21,0,,305,1,2013-12-25 12:56:21,R_3W2DuUUnsFHh1Q1,,2,7,5,6,7,7,7,4,4,7,7,1,1,7,5,3,3,100,85,75,60,85,60,50,50,100,100,25,10,9,dax,2,60,no,I never think of the purpose of any study I do instead I focus on giving honest and complete answers.,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,4,true,do,abnormally,religious
2013-12-25 12:50:20,2013-12-25 12:56:23,0,,363,1,2013-12-25 12:56:23,R_79BBzh3BJZZWlUx,,2,7,7,7,7,6,2,1,2,7,7,2,2,5,4,5,6,99,99,40,56,40,25,30,19,99,99,15,12,9,dax,1,19,None,About Moral Beliefs,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,2,true,do,normally,moral
2013-12-25 12:50:57,2013-12-25 12:57:25,0,,388,1,2013-12-25 12:57:26,R_b9HXQLmPpzl8udn,,2,6,4,5,6,2,2,2,2,7,7,3,3,6,3,6,4,85,65,75,81,45,40,25,40,100,100,30,33,9,dax,1,24,No,Interesting,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,3,true,do,abnormally,moral
2013-12-25 12:55:39,2013-12-25 12:59:30,0,,231,1,2013-12-25 12:59:30,R_1X5rFaPwMsfePul,,2,2,5,4,4,7,6,5,6,7,7,2,2,4,5,6,6,70,80,90,75,80,60,60,65,99,95,10,25,9,dax,1,32,,I have no idea,3,1,2,1,There is a God.,3,there is a God,7,true,do,normally,religious
2013-12-25 13:07:03,2013-12-25 13:13:03,0,,360,1,2013-12-25 13:13:04,R_0J29BaJPrpKVnaB,,2,7,5,4,5,7,7,2,7,7,7,1,1,4,4,4,4,99,90,50,70,75,60,50,45,90,98,5,2,9,dax,1,19,none,interesting not sure how it effects us though,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,1,true,do,normally,moral
2013-12-25 13:47:36,2013-12-25 13:50:09,0,,153,1,2013-12-25 13:50:10,R_3OsO1saN17rtVHL,,2,7,5,7,7,1,1,4,1,7,6,5,2,6,5,5,2,90,70,50,70,60,50,80,40,90,70,30,20,9,dax,1,22,no,no idea,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,normally,scientific
2013-12-25 13:45:22,2013-12-25 13:51:48,0,,386,1,2013-12-25 13:51:49,R_0ohoDwMaCMCRDud,,2,7,7,7,6,1,1,1,1,7,6,3,1,4,4,4,4,100,100,80,80,60,30,50,40,100,100,10,10,9,dax,1,28,,whether embodied foudation of moral compass affect its validity,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,3,true,do,abnormally,moral
